id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,liveness,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,82,2020s,euphoric,0.12,0.05
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2010s,serene,0.08,0.72
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,71,2020s,aggressive,0.18,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2020s,nostalgic,0.05,0.80
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2020s,energizing,0.10,0.04
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,48,2010s,dreamy,0.06,0.91
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,44,2010s,nostalgic,0.22,0.65
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,73,2020s,brooding,0.09,0.45
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,68,2010s,serene,0.07,0.85
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,77,2020s,euphoric,0.15,0.08
11,Block Party Anthem,Cipher Kings,hip-hop,energetic,0.88,96,0.72,0.91,0.08,91,2020s,energizing,0.20,0.02
12,Moonlit Sonata,Clara Voss,classical,melancholic,0.22,68,0.44,0.20,0.97,38,1990s,nostalgic,0.30,0.95
13,Iron Curtain,Wraith Engine,metal,angry,0.97,180,0.24,0.55,0.03,62,2010s,aggressive,0.25,0.12
14,Golden Hour,Sable Shore,r&b,relaxed,0.58,88,0.79,0.70,0.42,80,2020s,nostalgic,0.14,0.06
15,Dusty Road Home,The Hollow Pines,country,sad,0.33,104,0.50,0.47,0.82,52,2010s,nostalgic,0.35,0.18
16,Pulse Grid,Synthex,electronic,energetic,0.86,140,0.63,0.94,0.04,84,2020s,energizing,0.06,0.55
17,Autumn Letters,Wren & Oak,folk,melancholic,0.29,74,0.55,0.38,0.93,46,2010s,nostalgic,0.28,0.30
18,Delta Blues Revival,Mudstone,blues,sad,0.44,76,0.41,0.50,0.85,41,2000s,nostalgic,0.40,0.35
19,Dreamscape,Luma Drift,ambient,dreamy,0.31,58,0.70,0.35,0.88,58,2020s,dreamy,0.05,0.88
20,Neon Jungle,Cipher Kings,hip-hop,moody,0.79,102,0.46,0.86,0.11,76,2020s,brooding,0.16,0.07
